Name,Tier,Category,Relevance,Program Name,Grant Range,Deadline/Cycle,Website,Contact URL,Notes
L3Harris Technologies — Anaheim Facility,Local,Corporate (Aerospace/Defense),"Defense contractor with Anaheim CA facility; Foundation gave $120K to school robotics teams in 2022; LIFT program funds employee-led volunteer projects including coaching robotics; JROTC and military-mission friendly",L3Harris Foundation STEM Grants / LIFT Employee Volunteer Grants,$5000–$120000,Rolling — contact foundation directly,https://www.l3harris.com/,https://engage.l3harris.com/grants,"HIGH PRIORITY | JROTC and military STEM focus; Anaheim = 3 miles from Fullerton; seek L3Harris employee mentors"
Northrop Grumman — Anaheim/OC Operations,Local,Corporate (Aerospace/Defense),"#1 RECF corporate partner; Scaling Up for STEM Initiative gives priority to schools within 250 miles of Anaheim CA; previously granted to Anaheim schools; employee volunteer grants $500/employee who volunteers 40+ hours",Northrop Grumman Foundation — Scaling Up for STEM / Employee Volunteer Grants,"Teacher grants ~$2500; volunteer grants $500; RECF partnership millions total",Annual — contact NG or RECF; Scaling Up deadlines vary,https://www.northropgrumman.com/,https://www.northropgrumman.com/corporate-responsibility/corporate-citizenship/resources,"HIGH PRIORITY | Anaheim explicitly in priority zone; JROTC-friendly; #1 RECF partner; seek NG employees for volunteer grants"
Rose Hills Foundation,Regional,Foundation (Education/STEM),"Whittier CA (adjacent to Fullerton); $85M Science and Engineering Initiative; funds LA County nonprofits for K-12 STEM enrichment for underserved youth; rolling LOI",Science and Engineering Initiative / Education & Youth Development Grants,$50000–$250000,Rolling — accepts LOI anytime,https://rosehillsfoundation.org/,https://rosehillsfoundation.org/how-to-apply/,"HIGH PRIORITY | 501c3 REQUIRED | LA County focus — verify OC eligibility or partner with LA entity; rolling LOI is APPLY NOW"
Ralph M. Parsons Foundation,Regional,Foundation (Education),"LA-based foundation accepting rolling letters of inquiry; funds K-12 STEM enrichment and out-of-school learning; covers full educational continuum; hundreds of grants per year",Education Program Grants,$25000–$500000,Rolling — accepts LOI anytime,https://www.parsons.com/,https://www.parsons.com/2024/07/empowering-future-stem-leaders-through-our-scholarship-programs/,"APPLY NOW (rolling LOI) | 501c3 REQUIRED | LA County only — partner with LA entity; STEM and out-of-school learning are explicit interests"
Edison International / SoCal Edison — Edison Scholars & Community Grants,Regional,Corporate (Utility),"SCE serves Fullerton and SoCal; Edison Scholars awards $50K scholarships to 30 STEM-focused HS seniors in SCE territory annually; Community Grants Program funds education nonprofits emphasizing STEM","Edison Scholars Program / Community Grants","Scholarships $50000 over 4 years; community grants vary","Scholars: apps open Nov deadline ~Jan 22; Community: rolling",https://www.edison.com/community/edison-scholars,https://www.sce.com/about-sce/community,"Fullerton is in SCE territory; HS seniors apply for scholarships; program applies for community grants; $20M+ awarded since 2006"
Think Together (Orange County/LA),Regional,Nonprofit (Education),"Santa Ana-based nonprofit; operates afterschool STEM programs in LA and OC schools; Boeing has given $500K+ for coding and robotics at Think Together schools; potential collaborative grant partner",Coding For All / STEM Afterschool Programs,Collaborative/referral opportunity,Contact directly,https://thinktogether.org/,https://thinktogether.org/,"Regional partnership opportunity; Think Together is 501c3; funded by Boeing ASES and 21st CCLC; approach as collaborative partner"
California Community Foundation (CCF),Regional,Foundation (Community),"Major LA County foundation; $3.9B in grants since 2004; funds K-12 education youth development and STEM programs; has open grants portal; serving underserved communities",Education Program / Open Grants Portal,$5000–$500000+,Visit open grants portal for current cycles,https://www.calfund.org/,https://www.calfund.org/grants/education/,"501c3 REQUIRED | LA County focus — verify OC eligibility or partner with LA entity; JROTC equity angle is compelling"
Chevron STEM/RECF California Partnership,Regional,Corporate (Energy),"Chevron has longstanding RECF partnership specifically funding California VEX State Championships; employee Humankind matching gift program matches up to $5000/employee/year",RECF California State Championship Support / Chevron Humankind Employee Match,Event-level sponsorship + employee match up to $5000/employee,Annual partnership renewal; employee match rolling,https://www.chevron.com/,https://recf.org/,"HIGH PRIORITY | CA-specific VEX Championship partnership; seek Chevron employees for matching gifts; contact RECF to be connected to Chevron partnership"
Sempra Energy / SoCalGas Foundation,Regional,Corporate (Utility),"SoCalGas serves Fullerton; Sempra Foundation funds education and STEM in CA; gave $50K grants for minority STEM students; SoCalGas awarded $300K+ in STEM scholarships for Southern CA students",Sempra Foundation Education Grants / SoCalGas Community Grants,$5000–$50000,Rolling; varies by program,https://www.sempra.com/,https://www.sempra.com/performance/community-giving,"SoCalGas serves Fullerton directly; minority/underserved student STEM focus aligns with NJROTC demographics"
SpaceX (Hawthorne CA),Regional,Corporate (Aerospace/Space),"Headquartered 30 miles from Fullerton; occasional local STEM event sponsorship; hires from JROTC-affiliated schools; strong aerospace alignment with NJROTC mission",SpaceX Community Outreach / Local Sponsorships,$1000–$25000 (local event sponsorship),No formal cycle — contact directly,https://www.spacex.com/,https://www.spacex.com/,"No formal grant program; pursue as corporate sponsor; cadets aspiring to aerospace/military careers are compelling"
Los Angeles Robotics (LARobotics) — Nelson Team Grants,Regional,Nonprofit (Robotics),"LA-based nonprofit providing VEX IQ equipment grants to LAUSD schools; if Troy VEX mentors feeder teams this provides equipment; also a regional robotics networking hub",Nelson Team Grants (VEX IQ focus),Full equipment kit for new teams,Ongoing — contact directly,https://larobotics.org/,https://larobotics.org/NelsonTeamGrants.html,"Primarily for LAUSD schools; regional networking hub; Chevron employee matching has supported this program; good partner for pipeline building"
Boeing — SoCal STEM / FIRST Grants,Regional,Corporate (Aerospace/Defense),"Boeing gave $500K+ to LA and OC STEM programs through Think Together; FIRST team grants for teams with Boeing employee mentors; Long Beach and El Segundo facilities near Fullerton",Boeing Community Grants / Boeing-FIRST Team Grants,"$5K–$25K team grants; $10K–$250K+ community grants","FIRST team grants: Oct annual deadline; community grants: rolling",https://www.boeing.com/company/community-engagement,https://www.firstinspires.org/programs/team-grant-opportunities,"EMPLOYEE CHAMPION REQUIRED for FIRST grants; seek Boeing employees in SoCal; STEM + military/aerospace mission aligns perfectly"
Weingart Foundation,Regional,Foundation (Education/Social),"Covers LA OC Riverside San Bernardino and Ventura counties; funds youth development and education; invitation-only but welcomes nonprofit communications; grants up to $2M",Responsive Grantmaking (education/youth),$90000–$2000000,Invitation-only; welcome nonprofit inquiries,https://weingartfnd.org/,https://weingartfnd.org/for-grant-seekers/,"INVITATION-BASED | 501c3 REQUIRED | OC qualifies; send introductory letter; pitch equity JROTC military-connected youth and STEM career pathways; phone (213) 688-7799"
Qualcomm Foundation / Thinkabit Lab,State,Corporate/Foundation (Technology),"San Diego CA; longstanding STEM education funder with Thinkabit Lab robotics program; strategic collaboration with FIRST Robotics; RECF partner",Qualcomm Thinkabit Lab / STEM Education Grants,Not published; strategic partnerships,Contact directly; no formal public grant cycle,https://www.qualcomm.com/company/corporate-responsibility/empowering-digital-transformation/stem-education,https://thinkabitlab.com/,"CA-headquartered; FIRST Robotics strategic partner; 16 national Thinkabit Lab sites; approach for mentorship curriculum resources and potential sponsorship"
Broadcom Foundation,State,Foundation (Technology/STEM),"Irvine CA (OC headquarters) major STEM foundation; co-founder of Broadcom (Henry Samueli) also funds separately via Samueli Foundation; sponsors national STEM programs; youth tech innovation focus",Broadcom Foundation STEM Grants (invitation/strategic),$10000–$500000+,No unsolicited proposals — approach through networking,https://broadcomfoundation.org/,https://broadcomfoundation.org/highlights/,"HIGH PRIORITY | INVITATION-BASED | OC headquarters — true local company; connect with Broadcom employees for introduction to foundation staff"
Google.org — Robotics & AI Education Grants,State,Corporate Foundation (Technology),"Google.org committed $10M to FIRST and RECF for middle school robotics; Cal State LA received separate Google CS education grant; active STEM giving for underrepresented youth in CA",Google.org RECF Partnership Grant / Impact Challenge,"Organization-level millions; direct grants $50K–$500K",Rolling; Impact Challenge cycles vary,https://www.google.org/,https://www.google.org/,"HIGH PRIORITY | APPLY NOW | $10M Google.org-RECF grant = access through RECF team grants; also pursue directly for afterschool programs; JROTC underrepresented youth priority"
Pacific Life Foundation,State,Foundation (Corporate),"Newport Beach CA (Orange County); annual grant cycle funds OC nonprofits; 3Ts of Education program for OC schools with Pacific Life employee connections; $9M giving program in 2024",Annual Grant Cycle / 3Ts of Education Program,"3Ts school grants avg $3K–$10K; community grants vary","Annual grant cycle: apps July 15–Aug 15; awards following January",https://www.pacificlife.com/community-impact,https://www.pacificlife.com/home/corporate-social-responsibility/communities/community-impact.html,"APPLY NOW (annual cycle opens July 15) | OC headquarters; 3Ts program for OC schools where Pacific Life employees' children attend; multi-year commitments with OC United Way"
James Irvine Foundation,State,Foundation (General California),"CA-wide foundation with $3.3B in assets; $158.7M in grants in 2024; focus on economic opportunity for low-income CA workers; STEM workforce angle may fit; monitor for aligned RFPs",General Program Grants (economic opportunity/education),$50000–$1000000+,Not accepting unsolicited proposals; monitor website,https://www.irvine.org/,https://www.irvine.org/our-grants/,"INVITATION-BASED | 501c3 REQUIRED | JROTC workforce readiness angle may fit current focus; monitor for aligned RFPs"
Chevron STEM Grants (State-Level),State,Corporate (Energy),"Chevron headquartered in San Ramon CA; provides STEM scholarships and grants nationally with depth in CA; Humankind employee match program",Chevron STEM Scholarships / Humankind Employee Matching,"Scholarships $2000–$5000; employee match dollar-for-dollar up to $5000/employee/year","Annual scholarship deadlines; employee match rolling",https://www.chevron.com/communities,https://www.chevron.com/communities,"Seek Chevron employees near Fullerton for matching gifts; CA-headquartered; strong STEM focus"
Toshiba America Foundation — Grades 6-12 STEM Grants,State,Foundation (Technology),"Active grant-maker for K-12 STEM classroom projects (gr 6–12); in Feb 2026 awarded $194K to 43 projects; robotics coding and drones are explicitly fundable; teacher applies directly no 501c3 needed",Toshiba America Foundation STEM Classroom Grants (6-12),"Up to $5000 (standard); up to $20000+ (larger projects)","Under $5K: quarterly 6/1 9/1 12/1 3/1; Over $5K: 11/1 and 5/1",https://www.toshiba.com/taf/,https://www.toshiba.com/taf/612-2/,"APPLY NOW — next deadline June 1 | Teacher applies directly no 501c3 required | Troy VEX coaches should apply now"
Intel Foundation,State,Foundation (Technology),"CA-based tech giant; $1.25M+ in STEM grants for underrepresented youth in CA; Million Girls Moonshot initiative for afterschool STEM providers; focus on girls and students of color",Intel Foundation STEM Grants / Million Girls Moonshot,$50000–$500000+,By invitation; monitor for open RFPs,https://www.intel.com/content/www/us/en/corporate-responsibility/promoting-stem-education.html,https://www.intel.com/content/www/us/en/corporate-responsibility/promoting-stem-education.html,"INVITATION-BASED | 501c3 REQUIRED | Focus on underrepresented youth; JROTC demographic fits; CA operations (Santa Clara)"
California Department of Education — STEM Grants,State,Government (State),"CA offers STEM grants through ASES and 21st CCLC federal pass-through; afterschool program grants for eligible schools; Think Together and other nonprofits use these to fund STEM programs",ASES (After School Education and Safety) / 21st CCLC,$50000–$500000+,Annual RFPs — check CDE website,https://www.cde.ca.gov/fg/fo/af/,https://www.cde.ca.gov/fg/fo/af/,"501c3 OR SCHOOL DISTRICT REQUIRED | Best pursued through Fullerton Joint Union High School District administration"
RECF — Competitive Team Grants / JROTC Funding,National,Foundation (Robotics),"Governing body of VEX Robotics; directly provides team grants for robot kits playing fields and game elements; dedicated JROTC partnership with special funding pathway at jrotc@recf.org",Competitive Team Grant Program / JROTC STEM Funding,"Full robot kit + field (value ~$1500–$3000+ per kit)",December 1 for current season; JROTC: rolling via jrotc@recf.org,https://recf.org/,https://recf.org/teams/for-participants/grants/,"HIGH PRIORITY | APPLY NOW | JROTC SPECIFIC | Most direct mission-aligned grant; email jrotc@recf.org immediately about JROTC-specific STEM funding"
Northrop Grumman Foundation — RECF / National,National,Foundation (Aerospace/Defense),"#1 financial partner of RECF; provided $2M+ to create 200+ VEX teams worldwide; Scaling Up for STEM teacher professional development — Anaheim is priority zone (250-mile radius)",RECF Partnership Grants / Scaling Up for STEM Initiative,"Teacher grants ~$2500; RECF team grants vary",Annual — contact RECF or NG Foundation directly,https://www.northropgrumman.com/corporate-responsibility/corporate-citizenship/resources,https://recf.org/northrop-grumman-foundation-robotics-education-competition-foundation-to-create-new-robotics-teams-worldwide/,"HIGH PRIORITY | Anaheim explicitly in priority zone; JROTC-friendly company; #1 RECF partner — work through RECF relationship"
Lockheed Martin — STEM Education Outreach Grants,National,Corporate (Aerospace/Defense),"Rolling K-12 STEM education grants ($5K–$25K) to nonprofits and schools near LM facilities; RECF scholarship partner; explicit military/defense focus aligns with JROTC; open NOW",Lockheed Martin STEM Education Outreach Grants,$5000–$25000,Rolling — open now,https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,https://www.lockheedmartin.com/en-us/who-we-are/communities/applying-for-contributions.html,"HIGH PRIORITY | APPLY NOW (rolling) | JROTC friendly | 501c3 REQUIRED | Must be near LM facility or LM employee community"
RTX / Raytheon — National STEM Grants,National,Corporate (Aerospace/Defense),"$500M Connect Up social impact commitment; Raytheon-FIRST Robotics scholarships for FIRST alumni; Fullerton facility (2000 employees) creates strong local nexus; June–July grant window",RTX Connect Up Community Grants / Raytheon-FIRST Scholarships,"Community grants $5K–$100K+; scholarships $1K x 40/year","June 1–July 31 annually for new requests",https://www.rtx.com/,https://www.raytheon.com/responsibility/stem/robotics,"HIGH PRIORITY | JROTC and military family focus | EMPLOYEE CHAMPION REQUIRED | 501c3 REQUIRED | Fullerton facility = direct tie"
Boeing Foundation — National STEM / FIRST Grants,National,Corporate (Aerospace/Defense),"FIRST Robotics team grants with Boeing employee mentor; $100K+ grants to LA/OC STEM programs; Long Beach and El Segundo facilities near Fullerton; aerospace-STEM alignment with JROTC",Boeing Community Grants / Boeing FIRST Team Grants,"$5K–$25K team grants; $10K–$250K+ community grants","FIRST team grants: Oct annual; community: rolling",https://www.boeing.com/company/community-engagement,https://www.firstinspires.org/programs/team-grant-opportunities,"EMPLOYEE CHAMPION REQUIRED for FIRST grants; seek Boeing employees in SoCal; STEM + military/aerospace mission aligns"
Lockheed Martin — RECF Scholarship,National,Corporate (Aerospace/Defense),"RECF scholarship partner offering college scholarships to VEX Robotics alumni pursuing STEM degrees; available to Troy VEX graduates entering college",Lockheed Martin RECF Scholarship,Not publicly specified,Annual — check RECF scholarships page,https://recf.org/scholarship/lockheed-martin-corporation/,https://recf.org/teams/for-participants/scholarships/,"Available to Troy VEX alumni pursuing college STEM degrees; promote to cadets planning for college"
NASA — STEM Engagement / Robotics Alliance,National,Government (Federal),"Robotics Alliance Project supports VEX Robotics; NASA is 2026 VEX Worlds sponsor; funds STEM engagement through multiple programs; JROTC and aerospace theme align with NASA mission",NASA Robotics Alliance / STEM Engagement Grants,"Registration grants; engagement grants $25K–$5M+","FRC grants: annual; engagement grants: rolling",https://www.nasa.gov/learning-resources/eons-grant-forecasting/,https://robotics.nasa.gov/,"HIGH PRIORITY | APPLY NOW | VEX directly supported by NASA Robotics Alliance; JROTC aerospace theme aligns; check robotics.nasa.gov for current grants"
National Science Foundation (NSF) — STEM K-12,National,Government (Federal),"NSF STEM K-12 program funds robotics-based STEM learning; awards $25K–$750K for 1–3 years; robotics competitions as STEM engagement tools explicitly fundable",NSF STEM K-12 / National Robotics Initiative,$25000–$750000,Annual — check nsf.gov for current solicitations,https://www.nsf.gov/funding/opportunities/stem-k-12-nsf-stem-k-12,https://www.nsf.gov/,"501c3 OR UNIVERSITY REQUIRED | Best pursued through Cal State Fullerton partnership; JROTC + robotics + equity focus is compelling; email stemk12@nsf.gov"
Texas Instruments (TI) — RECF Partner,National,Corporate (Technology),"TI-RECF partner since 2013; sponsors VEX World Championship; funds Girl Powered workshops; facilitates team grants through RECF",TI-RECF Partnership / Girl Powered STEM Grants,Varies — team grants facilitated through RECF,Annual — through RECF,https://www.ti.com/,https://recf.org/partners/ti/,"Access TI grants through RECF grant program; pursue TI directly for Girl Powered workshops if Troy VEX has female cadets to highlight"
Eaton Corporation — RECF Sponsor / VEX Worlds,National,Corporate (Technology/Manufacturing),"Active RECF World Championship sponsor offering Team and Event Partner Grants; in 2024-25 funded teams in 14 Signature Events and National Championships; hosts VEX events",Eaton RECF Team Grants / Event Partner Grants,Varies — team and event grants,Annual — through RECF,https://www.eaton.com/,https://recf.org/vex-worlds-sponsor/eaton/,"HIGH PRIORITY | APPLY NOW through RECF | Direct VEX sponsor offering team grants; supports Factory Automation and manufacturing-focused STEM"
BAE Systems — FIRST Grants & Scholarships,National,Corporate (Aerospace/Defense),"FIRST Robotics team grants (priority within 75 miles of BAE facilities); $40K total annual STEM scholarships; BAE defense facilities in SoCal; military STEM focus aligns with JROTC",BAE Systems FIRST Team Grants / FIRST Scholarship Program,"Team grants varies; scholarships $5000/yr x 4 years (8 recipients/year)",Annual — check BAE Systems website; early 2025 for 2025-26,https://www.baesystems.com/en-us/our-company/inc-businesses/electronic-systems/community-engagement/stem-outreach/first-scholarship-program,https://www.baesystems.com/en-us/our-company/about-us/bae-systems-inc/community-investment/first-grants,"EMPLOYEE CHAMPION preferred | Defense/military focus aligns strongly with JROTC; check for next annual grant cycle opening"
Toshiba America Foundation — National (Grades 6-12),National,Foundation (Technology),"National grant program; teacher applies directly no 501c3 required; robotics coding and drones explicitly fundable; awarded $194K to 43 projects in Feb 2026",Toshiba America Foundation STEM Classroom Grants (6-12),"Up to $5000 standard; up to $20000+ larger projects","Quarterly: 6/1 9/1 12/1 3/1 (≤$5K); 11/1 and 5/1 (>$5K)",https://www.toshiba.com/taf/,https://www.toshiba.com/taf/612-2/,"APPLY NOW — next deadline June 1 | Teacher applies directly; no 501c3 required — same entry as Tier 3 but listed nationally"
Siemens Foundation,National,Foundation (Technology/Manufacturing),"Supports STEM workforce development and youth apprenticeship; strategic long-term partnerships only; future workforce angle strong; does not accept unsolicited proposals",Siemens Foundation Strategic Partnerships,$100000–$1000000+,Invitation-only — no unsolicited applications,https://www.siemens.com/us/en/company/about/usa-foundations.html,foundation.us@siemens.com,"INVITATION-BASED | Pursue through networking with Siemens employees or established nonprofit partners; long-term relationship play"
MathWorks — VEX RECF Partner,National,Corporate (Technology),"VEX World Championship sponsor; provides free MATLAB/Simulink access to VEX competition teams; curriculum and software resources available now; direct VEX ecosystem partner",MathWorks VEX Team Support / Free Software Access,"Software/in-kind value ~$2000–$5000/team",Rolling — request through RECF/MathWorks,https://www.mathworks.com/,https://recf.org/,"APPLY NOW | In-kind resource immediately claimable; contact RECF or MathWorks education team directly"
National Math and Science Initiative (NMSI),National,Nonprofit (STEM Education),"Serves 1.5M+ students in 40 states; AP training programs teacher development and STEM grants; received $20M DOE grant; high school STEM achievement aligned with Troy VEX mission",NMSI AP Program Support / STEM Teacher Grants,Program-level varies,Contact directly; school partnerships ongoing,https://www.nms.org/,https://www.nms.org/,"Best pursued through school administration (AP/STEM coordinator); JROTC cadets taking AP STEM courses is compelling program narrative"
DoD STEM — Robotics Grants (Military Connected),National,Government (Federal — DoD),"DoD STEM provides robotics grants for FIRST programs at schools with military-connected students; US Army JROTC officially endorses VEX Robotics; Troy NJROTC is ideal candidate",DoD STEM FIRST Robotics Grants / Army JROTC Robotics Program,Registration and preseason costs,"Annual — DoD reviews June 2025; notifications July 2025; check for 2026 cycle",https://first.dodstem.us/access,https://recf.org/vex-worlds-sponsor/jrotc/,"HIGH PRIORITY | APPLY NOW | JROTC SPECIFIC | Troy is NJROTC (Navy) — check Navy branch-specific funding too; all DoD branches support JROTC STEM"
Collins Aerospace (RTX) — STEM Grants,National,Corporate (Aerospace),"RTX subsidiary; charitable grants for STEM/STEAM education workforce preparation and diversity; grant range under $20K standard; previously funded FIRST robotics teams",Collins Aerospace Corporate Giving (Standard Grants),Under $20000 standard; up to $100000+ strategic,Rolling — near facilities focus,https://www.collinsaerospace.com/,https://www.collinsaerospace.com/community,"EMPLOYEE CHAMPION helpful | RTX parent connects to Fullerton facility; seek Collins employees in SoCal"
Bell Textron / Bell Flight — STEM Grants,National,Corporate (Aerospace/Defense),"STEM grants to 501c3s and schools for STEM and military programs; $1K–$10K typical range; runs Bell Advanced Vertical Robotics Competition; military and veteran programs are funding priority",Bell Corporate Grant Program / Bell Vertical Robotics Competition,$1000–$10000,Annual — 2026 window was closed March 2026; monitor for next cycle,https://www.bellflight.com/company/corporate-responsibility,https://www.instrumentl.com/grants/bell-helicopter-textron-corporate-grant,"501c3 REQUIRED | Military/veteran programs are priority; JROTC alignment is strong; monitor for next annual grant cycle"
Verizon Foundation — STEM / Innovative Learning,National,Corporate (Telecommunications),"Verizon Innovative Learning added 34 Title I schools in 2025-26; Foundation funds digital skills and STEM programs for K-12 youth; application by invitation only for new grantees",Verizon Innovative Learning Schools / Verizon Foundation STEM Grants,"Devices + data plans worth tens of thousands; foundation grants up to $50K","Innovative Learning: school cohort selection; foundation: by invitation",https://www.verizon.com/about/responsibility/,https://www.verizon.com/about/responsibility/grant-requirements,"INVITATION-BASED | Title I school status helps eligibility; STEM and digital skills focus; Verizon serves OC/Fullerton area; submit inquiry"
T-Mobile Hometown Grants,National,Corporate (Telecommunications),"T-Mobile up to $25M for community placemaking including STEM facilities; up to $50K per community project; quarterly cycles; population cap (50000) may exclude Fullerton — verify eligibility",T-Mobile Hometown Grants,Up to $50000,Quarterly cycles — Oct 1-Dec 31 and Jan 1-Mar 31,https://www.t-mobile.com/brand/hometown-grants,https://mainstreet.org/the-latest/events/apply-now-t-mobile-hometown-grants,"501c3 OR GOVT REQUIRED | Verify population eligibility for Fullerton; must be physical construction or renovation project; good for robotics lab build"
Nidec Corporation — VEX Worlds Sponsor,National,Corporate (Technology/Manufacturing),"Nidec is a VEX Robotics World Championship sponsor (2025 and 2026); direct relationship with RECF; global manufacturer (electrification/motors) with US presence; team grant access through RECF",RECF World Championship Sponsorship (team grant pathway),Unknown for direct team grants — access through RECF,Annual through RECF,https://www.nidec.com/,https://recf.org/vex-worlds-sponsor/nidec/,"Approach through RECF as a Worlds sponsor; could provide engineering mentorship; listed alongside NASA Google and Tesla at VEX Worlds"
Aerospace Corporation — Future STEM Leaders Scholarship,National,Corporate/Nonprofit (Aerospace),"El Segundo CA (30 miles from Fullerton); Future STEM Leaders Scholarships + mentorship for promising HS students; $5K scholarship + Aerospace mentor; also summer programs for HS students",Future STEM Leaders Scholarship / Dr. Wanda M. Austin STEM Scholarship,"$5000 one-time to $10000/year renewable",Annual — check aerospace.org for deadlines,https://aerospace.org/stem,https://aerospace.org/article/future-stem-leaders-scholarship,"Verify geographic eligibility for CA; great for individual Troy VEX cadets; El Segundo = 30 miles from Fullerton; SoCal HQ"
Autodesk Foundation,National,Foundation (Technology),"$79M deployed 2015-2025 to impact innovation globally; listed RECF partner; supports design and engineering education; makes grants to innovative nonprofits doing STEM education",Autodesk Foundation Grants (invitation/strategic),Varies — strategic partnerships,Contact directly; no formal public grant cycle,https://www.autodesk.org/,https://www.autodesk.org/what-we-do/funding,"RECF partner; approach through RECF ecosystem; also approach Autodesk directly for CAD/design software donation for program"
Cadence Design Systems Foundation,National,Foundation (Technology),"Cadence Giving Foundation funds STEM education AI for all and climate innovation; partners with Silicon Valley Community Foundation for scholarships; expand access to STEM for next-generation innovators",Cadence Foundation STEM Grants / Future Innovators Scholarship,"Scholarships $5000; foundation grants vary",Annual — contact foundation,https://www.cadence.com/en_US/home/company/foundation.html,https://www.cadence.com/en_US/home/company/foundation.html,"Best for individual cadet scholarships; STEM career focus; Cadence has strong OC/SoCal presence with semiconductor design tools"
